Date,Open,High,Low,Close,Volume
16-Dec-16,58397.63,59311.74,58365.46,58389.04,-
15-Dec-16,58213.75,58635.22,57574.74,58396.16,-
14-Dec-16,59280.13,59337.76,58212.12,58212.12,-
13-Dec-16,59177.53,59946.44,58757.51,59280.57,-
12-Dec-16,60516.60,60516.60,59034.94,59178.62,-
9-Dec-16,60688.41,61129.09,60315.83,60500.62,-
8-Dec-16,61429.96,61935.70,60499.40,60676.57,-
7-Dec-16,61110.81,61917.93,61062.22,61414.40,-
6-Dec-16,59828.46,61234.93,59395.92,61088.25,-
5-Dec-16,60322.39,60720.08,59635.01,59831.73,-
2-Dec-16,59498.85,60378.91,58092.29,60316.13,-
1-Dec-16,61906.35,61910.60,59058.08,59506.54,-
30-Nov-16,60994.05,62589.83,60994.05,61906.36,-
29-Nov-16,62858.77,62858.77,60979.55,60986.52,-
28-Nov-16,61558.56,62934.36,61240.48,62855.50,-
25-Nov-16,61393.86,61559.08,60572.79,61559.08,-
24-Nov-16,61998.99,62104.92,61392.18,61395.53,-
23-Nov-16,61955.55,62046.15,61233.53,61985.91,-
22-Nov-16,61072.10,62549.61,61072.10,61954.47,-
21-Nov-16,59962.70,61070.27,59962.70,61070.27,-
18-Nov-16,59770.33,60193.29,59327.34,59961.76,-
17-Nov-16,60762.94,61492.74,59745.66,59770.47,-
16-Nov-16,59658.50,60915.21,59363.83,60759.32,-
14-Nov-16,59183.14,59961.38,58322.32,59657.46,-
11-Nov-16,61198.71,61626.40,58920.95,59183.51,-
10-Nov-16,63260.76,63903.15,60553.18,61200.96,-
9-Nov-16,64157.44,64358.32,61794.36,63258.27,-
8-Nov-16,64051.65,64767.02,63381.34,64157.68,-
7-Nov-16,61600.74,64193.01,61600.74,64051.65,-
4-Nov-16,61749.23,62698.63,61491.40,61598.39,-
3-Nov-16,63324.67,63523.70,61750.17,61750.17,-
1-Nov-16,64921.91,65291.06,63018.57,63326.42,-
31-Oct-16,64311.51,65054.43,64311.51,64924.52,-
28-Oct-16,64250.59,64728.28,63777.97,64307.63,-
27-Oct-16,63827.32,64608.57,63827.32,64249.50,-
26-Oct-16,63859.97,63924.26,63083.64,63825.69,-
25-Oct-16,64058.56,64266.34,63247.64,63866.20,-
24-Oct-16,64140.73,64691.43,63913.56,64059.89,-
21-Oct-16,63838.09,64371.80,63378.72,64108.08,-
20-Oct-16,63494.68,63927.20,62728.75,63837.85,-
19-Oct-16,63783.66,64089.00,63308.54,63505.61,-
18-Oct-16,62701.39,63937.44,62701.39,63782.21,-
17-Oct-16,61767.58,62696.11,61718.83,62696.11,-
14-Oct-16,61120.45,62038.64,61120.45,61767.22,-
